H_Moment_1,H_Moment_2,H_Moment_3,H_Moment_4,H_Moment_5,H_Moment_6,H_Moment_7,S_Moment_1,S_Moment_2,S_Moment_3,S_Moment_4,S_Moment_5,S_Moment_6,S_Moment_7,V_Moment_1,V_Moment_2,V_Moment_3,V_Moment_4,V_Moment_5,V_Moment_6,V_Moment_7,G_Moment_1,G_Moment_2,G_Moment_3,G_Moment_4,G_Moment_5,G_Moment_6,G_Moment_7,cell_path,cell_label
0.00324276,4.12945e-08,1.90965e-09,4.14971e-09,7.777770000000001e-18,8.11504e-13,8.715860000000001e-18,0.0113503,1.20403e-06,2.06856e-07,2.29493e-07,9.75704e-15,1.79525e-10,4.90409e-14,0.000694405,3.42835e-10,2.93165e-13,1.29542e-13,-3.76526e-27,-2.3955500000000003e-18,2.49624e-26,0.000712582,3.00795e-10,7.03031e-13,5.3854e-13,2.8344799999999997e-25,-9.07657e-18,-1.7165000000000002e-25,28-05-2024/ASC-H/10.png,ASC-H
0.00135397,2.98107e-09,4.40647e-12,6.07632e-12,2.90746e-23,-3.26785e-16,1.1968700000000001e-23,0.00145467,1.12852e-09,7.1061e-11,1.27312e-11,-3.55065e-22,-4.10463e-16,-1.43398e-22,0.00187114,1.02111e-07,4.61304e-10,2.09022e-10,6.019309999999999e-20,5.54091e-14,-2.4280199999999998e-20,0.00145274,3.01563e-08,4.87328e-12,2.84823e-12,1.0606900000000001e-23,4.00768e-16,-3.09197e-25,28-05-2024/ASC-H/10000.png,ASC-H
0.0014583,1.30518e-09,9.61123e-12,3.39968e-11,-3.05991e-22,3.34776e-16,-5.32939e-22,0.00159138,1.31288e-08,5.44104e-11,2.16469e-11,-7.12824e-22,-2.28263e-15,2.09265e-22,0.00173327,1.76782e-08,1.91606e-10,4.93407e-10,-4.5745799999999997e-20,6.55066e-14,1.44648e-19,0.00202465,1.51278e-08,1.15979e-11,1.92249e-11,1.71217e-22,2.13161e-15,2.3042e-22,28-05-2024/ASC-H/10001.png,ASC-H
0.00135015,3.44566e-09,3.22265e-12,3.29119e-11,3.31647e-22,1.8221e-15,-6.99852e-23,0.00157142,1.74668e-09,3.48453e-12,2.44037e-11,2.2010499999999998e-22,1.39075e-16,-4.6861e-23,0.00298087,5.54377e-07,2.14316e-10,2.41772e-10,-3.51195e-20,-1.61196e-13,4.23725e-20,0.00193534,1.58361e-08,1.48954e-11,6.35276e-11,1.72765e-21,7.97653e-15,9.13313e-22,28-05-2024/ASC-H/10002.png,ASC-H
0.00113044,8.97127e-11,1.37271e-11,2.18814e-12,-6.97618e-24,-1.16185e-17,9.754370000000001e-24,0.00133639,1.61619e-08,8.98183e-12,8.80654e-12,7.507780000000001e-23,5.51586e-16,2.2312500000000002e-23,0.00336304,1.29055e-07,1.17866e-11,1.44309e-09,1.4642e-19,1.04163e-13,1.18249e-19,0.00148734,1.39375e-08,2.15198e-11,1.45167e-11,-1.3032999999999998e-22,-1.39081e-15,-2.21012e-22,28-05-2024/ASC-H/10003.png,ASC-H
0.00143456,3.23857e-08,1.31564e-11,2.50238e-11,4.39311e-22,4.49992e-15,-1.14727e-22,0.00171308,2.7588e-08,1.04363e-10,2.82133e-11,1.1827699999999999e-21,3.19657e-15,9.71999e-22,0.0023234,9.74568e-08,1.2074e-10,2.23608e-10,-3.0704199999999996e-20,2.17164e-14,-2.0179e-20,0.00202737,1.43349e-08,1.7161e-11,1.15943e-11,2.13336e-23,7.52958e-16,-1.62148e-22,28-05-2024/ASC-H/10004.png,ASC-H
0.00162322,1.91685e-08,1.74883e-10,2.42365e-11,2.46e-22,2.95816e-15,-1.5585999999999999e-21,0.00193772,2.70026e-08,1.82351e-10,5.09005e-11,4.19508e-21,-8.36199e-15,2.5394999999999997e-21,0.00189903,4.21828e-09,4.73242e-10,3.46536e-10,1.40083e-19,1.05425e-14,-8.39926e-21,0.00118766,1.54325e-09,2.69904e-11,3.46181e-11,1.0421599999999999e-21,8.39876e-16,-1.83461e-22,28-05-2024/ASC-H/10005.png,ASC-H
0.00265128,8.8385e-11,1.04227e-09,4.40741e-10,-2.94201e-19,1.6803e-15,5.1766000000000004e-20,0.00263263,1.09039e-08,9.90825e-10,8.30028e-12,1.00695e-22,-8.50005e-16,-7.45961e-22,0.0011494,6.57809e-08,1.06611e-10,4.40897e-12,5.23024e-23,-1.62479e-16,8.00105e-23,0.0010113,6.7281e-09,2.8658e-11,2.68261e-11,5.64556e-22,-2.20041e-15,4.8427299999999995e-22,28-05-2024/ASC-H/10006.png,ASC-H
0.00198666,7.54185e-09,5.30774e-10,2.01494e-10,3.1696999999999997e-22,-1.65041e-14,6.589349999999999e-20,0.00219122,4.88961e-08,9.50009e-10,1.95325e-11,-2.61943e-21,-3.09098e-15,4.67009e-22,0.00156379,3.78913e-08,4.52782e-10,2.84776e-11,2.65004e-21,-5.32514e-15,1.8531499999999997e-21,0.00158108,4.15919e-09,1.20251e-12,6.06949e-12,-1.21262e-23,-2.18661e-16,-1.10376e-23,28-05-2024/ASC-H/10007.png,ASC-H
0.0021279,5.47238e-08,1.92358e-10,3.86245e-10,7.416329999999999e-20,7.74296e-14,-7.47252e-20,0.00238833,5.82368e-08,2.61542e-10,1.96104e-10,-8.3658e-22,4.71528e-14,-4.4404099999999995e-20,0.00156072,9.13495e-08,4.02038e-11,4.63704e-11,-1.5704299999999999e-21,-1.40078e-14,-1.2418999999999998e-21,0.00154725,9.4085e-09,1.19982e-11,8.75176e-12,6.050790000000001e-24,-1.33842e-17,-8.94768e-23,28-05-2024/ASC-H/10008.png,ASC-H
0.00319621,2.28513e-07,2.16051e-09,2.60233e-10,1.70654e-19,-8.16036e-14,-9.461629999999999e-20,0.00268355,1.82603e-08,2.54472e-09,1.97572e-10,-1.18138e-19,-3.79568e-15,-7.529019999999999e-20,0.00104752,1.01694e-08,8.86953e-11,9.35112e-12,1.52943e-22,7.75426e-16,2.21662e-22,0.000887875,2.05876e-08,3.00423e-12,2.5545e-12,-5.88712e-25,-1.1638e-16,7.052080000000001e-24,28-05-2024/ASC-H/10009.png,ASC-H
0.00724409,7.45711e-07,1.17711e-08,2.69063e-08,-3.36483e-16,2.06312e-11,-3.40685e-16,0.00745463,4.97684e-06,7.2683e-09,5.66141e-08,-1.14842e-15,1.26267e-10,-3.754160000000001e-18,0.000686763,1.85458e-09,2.19864e-12,7.80016e-14,-3.20895e-26,-3.3132500000000005e-18,3.70032e-27,0.000684997,6.27739e-13,1.04612e-15,1.47066e-15,1.669e-30,-6.56609e-22,7.36143e-31,28-05-2024/ASC-H/10010.png,ASC-H
