Image_Path,Label,Hu_0,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6
28-05-2024/ASC-H\10.png,ASC-H,0.0007128561693075556,6.42336809935654e-10,5.678804998445601e-13,2.2426500663901415e-13,-1.5064830017247766e-26,-5.683838431196129e-18,7.860267617412442e-26
28-05-2024/ASC-H\10000.png,ASC-H,0.002362090986475288,1.7198078719087629e-07,8.846766739985655e-10,7.553305812052052e-10,6.174151161226351e-19,2.856008755537016e-13,-6.018517432645329e-21
28-05-2024/ASC-H\10001.png,ASC-H,0.001965314643427531,2.1018640120652884e-08,4.670204476080328e-10,8.817055139181158e-10,-1.6731015335301771e-19,1.2257162076783658e-13,5.404837753745062e-19
28-05-2024/ASC-H\10002.png,ASC-H,0.0036092703187140134,1.1605708794862612e-06,7.158091892255087e-10,5.787032341121315e-10,-3.724528230848078e-19,-6.229736126552367e-13,2.6782966954172842e-21
28-05-2024/ASC-H\10003.png,ASC-H,0.004856645175296824,1.763543653192096e-07,6.130803727481536e-10,3.397937838316518e-09,4.801094627005056e-18,-5.550499665464024e-13,1.0010909185451474e-18
28-05-2024/ASC-H\10004.png,ASC-H,0.0026506207991228437,1.7682676835726974e-07,3.4229450707885385e-10,4.942964091584765e-10,-1.3163514115764748e-19,6.078381616095483e-14,-1.549561595179259e-19
28-05-2024/ASC-H\10005.png,ASC-H,0.0021199454109067893,3.4247187825084207e-09,8.387886913991481e-10,6.366601148557961e-10,4.619369403982771e-19,1.1143431977200763e-14,-5.543633898929012e-20
28-05-2024/ASC-H\10006.png,ASC-H,0.0012711627959354176,8.564841591015565e-08,1.7566121678147968e-10,5.711484588947258e-12,1.6087008477058507e-22,2.6691218857235546e-16,8.275914253814103e-23
28-05-2024/ASC-H\10007.png,ASC-H,0.0017594594268977495,7.317776820854237e-08,8.354247457316179e-10,3.5463594345634634e-11,1.6573081865414144e-21,-9.364906574912492e-15,5.874897641614229e-21
28-05-2024/ASC-H\10008.png,ASC-H,0.0017219813185345037,1.3862169868030518e-07,8.278822625618239e-11,7.37406789298813e-11,-3.645405659745807e-21,-2.7322023407733884e-14,-4.461764219241553e-21
28-05-2024/ASC-H\10009.png,ASC-H,0.0011601645426584678,1.2246392886401585e-08,1.5955765598543604e-10,1.5034772498209985e-11,1.4910446929427274e-22,1.6099289100378915e-15,7.211301421356909e-22
28-05-2024/ASC-H\10010.png,ASC-H,0.0007142489474795668,3.8404924330080275e-09,5.227916717544874e-12,8.072822114518836e-14,-5.202014443859531e-26,-4.946833698318764e-18,6.660424330244602e-27
28-05-2024/ASC-H\10011.png,ASC-H,0.0007314258686582675,9.675445903448772e-10,7.906462404792637e-13,5.499415668117433e-13,-2.7520412827094564e-25,-1.6894963720374962e-17,-2.361451545430504e-25
28-05-2024/ASC-H\10012.png,ASC-H,0.000826660689815577,5.746375772479565e-09,7.802349738333025e-12,2.2921294385766365e-12,-6.691505609960864e-24,-1.5621355416474639e-16,7.0131101692281e-24
28-05-2024/ASC-H\10013.png,ASC-H,0.0009062558562210718,1.0659143816285393e-09,4.825279093639004e-13,2.520483523515165e-12,1.5931026618271386e-24,7.928699626002783e-17,-2.2777988628177618e-24
28-05-2024/ASC-H\10014.png,ASC-H,0.0008507679032575759,3.682360337778676e-10,2.506070699397543e-12,1.7121761260585156e-12,3.0902183482717796e-24,-2.0623736023500817e-17,1.7404981207350367e-24
28-05-2024/ASC-H\10015.png,ASC-H,0.000961328563139728,7.767199311293082e-09,5.994122185646172e-12,4.295345862827832e-13,-6.289196814219995e-25,1.5467409591016142e-17,-2.8193777462517455e-25
28-05-2024/ASC-H\10016.png,ASC-H,0.0007142893001003807,1.6521551709964516e-10,5.875826971007778e-14,2.439361583560276e-15,-2.4005257657973407e-29,-3.102938430817958e-20,1.66326929161157e-29
28-05-2024/ASC-H\10017.png,ASC-H,0.0007139562866266784,1.797112731210551e-11,3.1674697366188233e-15,4.321568534975002e-14,-3.5142221964271004e-29,-2.0036213944229143e-20,-5.043903869864202e-28
28-05-2024/ASC-H\10018.png,ASC-H,0.0007201336862271512,5.1959689288440984e-11,7.338574009283812e-15,9.371276098930138e-15,-7.748364642410732e-29,6.527629230250905e-20,5.990024518013404e-30
28-05-2024/ASC-H\10019.png,ASC-H,0.0007339029758704682,1.0167497148715288e-13,2.75074495325701e-14,6.046993719391584e-14,5.3850401345442175e-28,1.4209873740233707e-20,-2.406725575459123e-27
28-05-2024/ASC-H\10020.png,ASC-H,0.0007446381541984708,2.2192516048754558e-10,3.92525800425962e-14,7.164164588239921e-15,1.169663066931925e-28,5.561411101502212e-20,2.7425492130247065e-29
28-05-2024/ASC-H\10021.png,ASC-H,0.0007039075941909103,1.6857519068869077e-11,9.905376628213862e-14,1.8512105575997482e-14,7.567600463685426e-28,5.186384635302347e-20,2.3604558851799078e-28
28-05-2024/ASC-H\10022.png,ASC-H,0.0007155081964643308,1.2595243663499202e-10,7.775050919680774e-14,1.9721640725465184e-13,7.36402255075256e-27,-1.539369741075085e-18,-2.3284414160294163e-26
28-05-2024/ASC-H\10023.png,ASC-H,0.0007375549864172796,8.32716822110151e-12,7.654532433200137e-14,5.0050011703615987e-14,-1.3351090992224438e-27,-1.410894615489398e-19,-2.795422897834451e-27
28-05-2024/ASC-H\10024.png,ASC-H,0.0007226061758269184,6.90337205864107e-11,2.082199111965433e-13,3.5171119314497945e-14,2.287970856670449e-27,2.4433489948578407e-19,-1.9555564896230726e-27
28-05-2024/ASC-H\10025.png,ASC-H,0.0007366010537372539,5.580438104308584e-11,1.8238524646745982e-13,1.3393643909419726e-13,-1.7118383035166018e-26,-9.911220615453797e-19,1.2048844793102735e-26
28-05-2024/ASC-H\10026.png,ASC-H,0.0007125903673539986,7.904381074043577e-12,3.6775194429385135e-14,3.181922082300538e-14,2.4243758755396264e-28,-5.421775372281504e-20,1.061115220017478e-27
28-05-2024/ASC-H\10027.png,ASC-H,0.0006962472102881647,8.686806763208069e-12,4.3505995567088014e-14,2.5489241566557515e-14,3.115373689720242e-28,2.732734905612176e-20,-7.895701483757827e-28
28-05-2024/ASC-H\10028.png,ASC-H,0.0006914310691380195,1.8489766737116883e-11,2.5001480855854128e-14,2.8405310288249858e-14,7.569256562714883e-28,7.434739674347946e-20,8.739614893571013e-30
28-05-2024/ASC-H\10029.png,ASC-H,0.0008554940813733322,4.452698875068458e-10,1.485997165676914e-11,2.702009854494802e-12,1.676987815304901e-23,-2.3678840331042983e-17,3.451618886950663e-24
28-05-2024/ASC-H\10030.png,ASC-H,0.0007450641700953734,3.2280887847053005e-11,1.0572770562654688e-14,3.4883415757323807e-13,-3.3380658566919084e-27,1.261306178169531e-18,2.092008732210913e-26
28-05-2024/ASC-H\10031.png,ASC-H,0.0007639305207613248,1.6037413332579625e-09,3.159541032063033e-12,6.332115368708733e-13,-8.749602304234881e-25,-2.407643715137734e-17,1.9136890699700516e-25
28-05-2024/ASC-H\10032.png,ASC-H,0.0011344039299319886,2.9302261999321424e-09,2.944023490681084e-12,7.497665786881017e-12,6.475280961448513e-25,3.4606387258286386e-16,-3.521975769426558e-23
28-05-2024/ASC-H\10033.png,ASC-H,0.000989061469005597,5.443793654423051e-09,4.538169760322688e-12,7.858659215812867e-12,-4.650049927291565e-23,-5.694542853735772e-16,-6.344702043491689e-24
28-05-2024/ASC-H\10035.png,ASC-H,0.0008338900806878056,7.931781586974605e-09,4.678834837103038e-12,3.6237525937201426e-12,-1.2994326208226392e-23,-3.2001693985287047e-16,-7.334349615178873e-24
28-05-2024/ASC-H\11.png,ASC-H,0.0007632185839502853,8.119395089492456e-10,4.624012740551688e-13,1.948632020361078e-13,5.489492845786134e-26,4.0264725220049734e-18,-2.019860540576146e-26
28-05-2024/ASC-H\12.png,ASC-H,0.0006832534792105005,2.2853018593822747e-10,2.659341045959482e-13,1.8361269853543788e-14,1.15867329005606e-27,8.050078734994219e-21,5.510667962081664e-28
28-05-2024/ASC-H\13.png,ASC-H,0.0006810780596079356,8.191108997656566e-13,1.9071893999134557e-14,5.206434291796543e-15,-1.1779059774657153e-29,-2.02788382507044e-21,-5.052604788696475e-29
28-05-2024/ASC-H\14.png,ASC-H,0.000679868876162589,3.561558864053576e-12,3.756880536934744e-15,3.3526510109714455e-15,7.997383550040438e-30,-5.978703881963586e-21,-8.810151356005499e-30
28-05-2024/ASC-H\15.png,ASC-H,0.0006753769745180421,3.6523945361163794e-12,3.5100646719646896e-16,5.79457369656589e-16,-2.5390396892566834e-31,7.870868286226267e-22,-6.185716705135116e-32
28-05-2024/ASC-H\16.png,ASC-H,0.0007738076208003014,2.2214146666236097e-10,7.623605268047392e-14,5.125340464450079e-13,-9.590748786800907e-26,-7.444881634564846e-18,3.265019807589475e-26
28-05-2024/ASC-H\17.png,ASC-H,0.0007547583543574913,1.1175762008350442e-09,1.0867983705205509e-12,1.258672774548844e-12,-1.4067262919480695e-24,-4.141089542968848e-17,4.338937220381064e-25
28-05-2024/ASC-H\1906.png,ASC-H,0.0006814129407307456,1.1531487163661164e-12,5.739286325634398e-16,5.472864125406336e-16,6.581650985761009e-32,-5.851116440475984e-22,2.995816740640866e-31
28-05-2024/ASC-H\1907.png,ASC-H,0.0006902951024028374,8.725016305780203e-11,5.2202613047873176e-14,9.422956929642687e-15,2.1411052610857726e-29,-1.2725711107595515e-20,-2.0789101333412855e-28
28-05-2024/ASC-H\1908.png,ASC-H,0.00069794748150045,2.061866895031794e-10,2.539833026724638e-13,7.142986247256254e-15,-2.643736584067208e-28,-1.0146381255943607e-19,-1.5056925449775411e-28
28-05-2024/ASC-H\1909.png,ASC-H,0.0006894423593451656,2.5660109585561313e-12,4.506754061297674e-15,4.4609124935811245e-15,1.0420938690362566e-29,3.550661912535845e-21,-1.7072583332583122e-29
28-05-2024/ASC-H\1910.png,ASC-H,0.0006966066912509291,2.530880890611185e-11,1.485723785996553e-13,2.5317604805148e-14,1.2288652476350325e-27,-1.2198248627443169e-19,9.491778480642224e-28
28-05-2024/ASC-H\1911.png,ASC-H,0.000714349954027723,1.4152452644823677e-10,4.769306150769952e-13,9.424785055324357e-14,1.7467769423782448e-26,-9.374852522981863e-19,9.70307597861631e-27
28-05-2024/ASC-H\1912.png,ASC-H,0.0007387323905951202,6.783047893137334e-10,1.5347372525036696e-13,1.7840188515125398e-13,-1.0826643653836186e-26,1.7242405086590734e-20,2.74629473497945e-26
28-05-2024/ASC-H\1913.png,ASC-H,0.0007189575415795751,2.9212185776265206e-11,2.377339486142319e-14,1.881971934621351e-13,-2.365076857165657e-28,-9.965505254844345e-19,1.2586026792658836e-26
28-05-2024/ASC-H\1914.png,ASC-H,0.0006854636995591244,1.0200254657394621e-11,6.242371175979917e-15,2.7542934771131337e-15,1.045333755354968e-29,5.226291721393997e-21,4.5998429759323355e-30
28-05-2024/ASC-H\1915.png,ASC-H,0.0006940449735573281,1.5510753276259341e-12,1.1581545627393555e-14,5.858707860048493e-15,4.13487099126279e-29,3.527043129819138e-21,2.48856972895986e-29
28-05-2024/ASC-H\1916.png,ASC-H,0.0007198408529168577,1.5726644913440762e-09,1.6922851414567165e-12,2.0935712816766345e-13,-1.0116793850183735e-25,-7.782092282501011e-18,-7.275856611602256e-26
28-05-2024/ASC-H\1917.png,ASC-H,0.000704181110265918,2.5771321706781035e-11,5.0053627689696194e-14,6.205379661319452e-15,-1.0538309816100275e-28,-3.1366648115312025e-20,2.923461904031695e-29
28-05-2024/ASC-H\1918.png,ASC-H,0.000705517547063546,2.930854008019525e-11,8.277569365879456e-14,4.008693590645974e-14,1.5270299548475945e-27,-6.784346835786752e-20,1.7321780226446455e-27
28-05-2024/ASC-H\1919.png,ASC-H,0.000689391942493567,4.1393420357392556e-12,4.355750011315329e-15,1.895371842796426e-15,5.397941720039338e-30,8.114950205653543e-23,7.214727177014568e-31
28-05-2024/ASC-H\1920.png,ASC-H,0.0006779895503385321,4.5465559212255893e-13,3.653951636595009e-15,2.3934312570203376e-15,2.8570797107552172e-30,3.4877292394525603e-22,6.475778314853487e-30
28-05-2024/ASC-H\1921.png,ASC-H,0.0006753841484377727,1.5189513322474874e-12,2.2158187355876292e-15,5.178827998550773e-16,4.310112473234549e-31,-6.3814246877241e-22,-3.4928643087405307e-31
28-05-2024/ASC-H\1922.png,ASC-H,0.0006673876490737205,2.211011127977821e-11,1.7948612734129984e-14,1.2992218865778842e-16,-1.0819634604355886e-31,6.004346538614976e-22,-1.6630059334500056e-31
28-05-2024/ASC-H\1923.png,ASC-H,0.0006743541606747,2.9721837727867403e-12,4.920209053788179e-15,1.8566711081300588e-14,-1.360206266787358e-28,-3.1797663963386065e-20,-1.139716507854783e-28
28-05-2024/ASC-H\1924.png,ASC-H,0.0006847037050188024,3.0000564796325643e-13,1.7836094616884107e-15,1.2799165842730484e-15,1.1586468173594649e-32,-3.329996926667267e-22,1.9338135024987206e-30
28-05-2024/ASC-H\1925.png,ASC-H,0.000734962833798177,1.0055263340552964e-10,4.2227941176002743e-13,6.093640637438588e-14,9.755176303670553e-27,4.421267073937885e-19,6.216723753198704e-28
28-05-2024/ASC-H\1926.png,ASC-H,0.0007474165262064933,4.763146255630536e-10,2.1946484368306511e-13,5.5880383193411426e-14,6.187090590667835e-27,5.521858484041029e-19,-1.2247178712524912e-28
