H_Moment_1,H_Moment_2,H_Moment_3,H_Moment_4,H_Moment_5,H_Moment_6,H_Moment_7,S_Moment_1,S_Moment_2,S_Moment_3,S_Moment_4,S_Moment_5,S_Moment_6,S_Moment_7,V_Moment_1,V_Moment_2,V_Moment_3,V_Moment_4,V_Moment_5,V_Moment_6,V_Moment_7,G_Moment_1,G_Moment_2,G_Moment_3,G_Moment_4,G_Moment_5,G_Moment_6,G_Moment_7
0.00324276,0.0000000412945,0.00000000190965,0.00000000414971,7.77777E-18,8.11504E-13,8.71586E-18,0.0113503,0.00000120403,0.000000206856,0.000000229493,9.75704E-15,1.79525E-10,4.90409E-14,0.000694405,3.42835E-10,2.93165E-13,1.29542E-13,-3.76526E-27,-2.39555E-18,2.49624E-26,0.000712582,3.00795E-10,7.03031E-13,5.3854E-13,2.83448E-25,-9.07657E-18,-1.7165E-25
0.00135397,0.00000000298107,4.40647E-12,6.07632E-12,2.90746E-23,-3.26785E-16,1.19687E-23,0.00145467,0.00000000112852,7.1061E-11,1.27312E-11,-3.55065E-22,-4.10463E-16,-1.43398E-22,0.00187114,0.000000102111,4.61304E-10,2.09022E-10,6.01931E-20,5.54091E-14,-2.42802E-20,0.00145274,0.0000000301563,4.87328E-12,2.84823E-12,1.06069E-23,4.00768E-16,-3.09197E-25
0.0014583,0.00000000130518,9.61123E-12,3.39968E-11,-3.05991E-22,3.34776E-16,-5.32939E-22,0.00159138,0.0000000131288,5.44104E-11,2.16469E-11,-7.12824E-22,-2.28263E-15,2.09265E-22,0.00173327,0.0000000176782,1.91606E-10,4.93407E-10,-4.57458E-20,6.55066E-14,1.44648E-19,0.00202465,0.0000000151278,1.15979E-11,1.92249E-11,1.71217E-22,2.13161E-15,2.3042E-22
0.00135015,0.00000000344566,3.22265E-12,3.29119E-11,3.31647E-22,1.8221E-15,-6.99852E-23,0.00157142,0.00000000174668,3.48453E-12,2.44037E-11,2.20105E-22,1.39075E-16,-4.6861E-23,0.00298087,0.000000554377,2.14316E-10,2.41772E-10,-3.51195E-20,-1.61196E-13,4.23725E-20,0.00193534,0.0000000158361,1.48954E-11,6.35276E-11,1.72765E-21,7.97653E-15,9.13313E-22
0.00113044,8.97127E-11,1.37271E-11,2.18814E-12,-6.97618E-24,-1.16185E-17,9.75437E-24,0.00133639,0.0000000161619,8.98183E-12,8.80654E-12,7.50778E-23,5.51586E-16,2.23125E-23,0.00336304,0.000000129055,1.17866E-11,0.00000000144309,1.4642E-19,1.04163E-13,1.18249E-19,0.00148734,0.0000000139375,2.15198E-11,1.45167E-11,-1.3033E-22,-1.39081E-15,-2.21012E-22
0.00143456,0.0000000323857,1.31564E-11,2.50238E-11,4.39311E-22,4.49992E-15,-1.14727E-22,0.00171308,0.000000027588,1.04363E-10,2.82133E-11,1.18277E-21,3.19657E-15,9.71999E-22,0.0023234,0.0000000974568,1.2074E-10,2.23608E-10,-3.07042E-20,2.17164E-14,-2.0179E-20,0.00202737,0.0000000143349,1.7161E-11,1.15943E-11,2.13336E-23,7.52958E-16,-1.62148E-22
0.00162322,0.0000000191685,1.74883E-10,2.42365E-11,2.46E-22,2.95816E-15,-1.5586E-21,0.00193772,0.0000000270026,1.82351E-10,5.09005E-11,4.19508E-21,-8.36199E-15,2.5395E-21,0.00189903,0.00000000421828,4.73242E-10,3.46536E-10,1.40083E-19,1.05425E-14,-8.39926E-21,0.00118766,0.00000000154325,2.69904E-11,3.46181E-11,1.04216E-21,8.39876E-16,-1.83461E-22
0.00265128,8.8385E-11,0.00000000104227,4.40741E-10,-2.94201E-19,1.6803E-15,5.1766E-20,0.00263263,0.0000000109039,9.90825E-10,8.30028E-12,1.00695E-22,-8.50005E-16,-7.45961E-22,0.0011494,0.0000000657809,1.06611E-10,4.40897E-12,5.23024E-23,-1.62479E-16,8.00105E-23,0.0010113,0.0000000067281,2.8658E-11,2.68261E-11,5.64556E-22,-2.20041E-15,4.84273E-22
0.00198666,0.00000000754185,5.30774E-10,2.01494E-10,3.1697E-22,-1.65041E-14,6.58935E-20,0.00219122,0.0000000488961,9.50009E-10,1.95325E-11,-2.61943E-21,-3.09098E-15,4.67009E-22,0.00156379,0.0000000378913,4.52782E-10,2.84776E-11,2.65004E-21,-5.32514E-15,1.85315E-21,0.00158108,0.00000000415919,1.20251E-12,6.06949E-12,-1.21262E-23,-2.18661E-16,-1.10376E-23
0.0021279,0.0000000547238,1.92358E-10,3.86245E-10,7.41633E-20,7.74296E-14,-7.47252E-20,0.00238833,0.0000000582368,2.61542E-10,1.96104E-10,-8.3658E-22,4.71528E-14,-4.44041E-20,0.00156072,0.0000000913495,4.02038E-11,4.63704E-11,-1.57043E-21,-1.40078E-14,-1.2419E-21,0.00154725,0.0000000094085,1.19982E-11,8.75176E-12,6.05079E-24,-1.33842E-17,-8.94768E-23
